# Puruogangri Ice Cap, China 500 Year Trace Element Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22214 
#       Description: 
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/puruogangri/puruogangri2017efc5yr.txt
#       Description:
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#
# Dataset DOI: 
#
# Parameter_Keywords: chemistry 
#--------------------
# Contribution_Date
#	Date: 2017-06-09
#--------------------
# File_Last_Modified_Date
#	Date: 2017-06-20
#--------------------
# Title
#	Study_Name: Puruogangri Ice Cap, China 500 Year Trace Element Data
#--------------------
# Investigators
#	Investigators: Beaudon, E.; Gabrielli, P.; Sierra-Hernandez, M.R.; Wegner, A.; Thompson, L.G. 
#--------------------
# Description_Notes_and_Keywords
#	Description: Trace element data from ice cores collected on the Dome A of the Puruogangri Ice Cap, Tibetan Plateau, China,
#	from  1497 to 1991 CE.  Included are annual median of concentration and enrichment factor (EF) of trace elements. 
#	Annual medians are calculated from raw concentration/EFc of individual sample values (based on freshly cut ice samples) for 
#	Ag, Bi, Cd, Fe, Pb, Sb, Tl, and Zn.  EFc were calculated using Fe as crustal element of reference and Potential Source Areas 
#	(PSA) of dust samples from the Tibetan Plateau as crustal reference.  5 year average concentrations and EFc are calculated 
#	as average of annual median values for Ag, Cd, Fe, Pb, Sb, Tl, and Zn.  Time scale is from Thompson et al. (2006) Annals of 
#	Glaciology, vol 43, 61-68. 
#	
#	Note: This file updated 2017-06-20, replacing incorrect Zinc enrichment factor values (all of column 8).  All other data unchanged.
#--------------------
# Publication 
#	Authors: Emilie Beaudon, Paolo Gabrielli, M. Roxana Sierra-Hernández, Anna Wegner, Lonnie G. Thompson
#	Published_Date_or_Year: 2017-12-01    
#	Published_Title: Central Tibetan Plateau atmospheric trace metals contamination: a 500-year record from the Puruogangri ice core
#	Journal_Name: Science of the Total Environment
#	Volume: 601-602
#	Edition: 
#	Issue: 
#	Pages: 1349-1363
#	Report_Number: 
#	DOI: 10.1016/j.scitotenv.2017.05.195
#	Online_Resource: http://www.sciencedirect.com/science/article/pii/S0048969717313025
#	Full_Citation: 
#	Abstract: A ~ 500-year section of ice core (1497-1992) from the Puruogangri ice cap has been analyzed at high resolution for 28 trace elements (TEs: Ag, Al, As, Ba, Bi, Cd, Co, Cr, Cs, Cu, Fe, Ga, Li, Mg, Mn, Na, Nb, Ni, Pb, Rb, Sb, Sn, Sr, Ti, Tl, U, V and Zn) to assess different atmospheric contributions to the ice and provide a temporal perspective on the diverse atmospheric influences over the central Tibetan Plateau (TP). At least two volcanic depositions have significantly impacted the central TP over the past 500 years, possibly originating from the Billy Mitchell (1580, Papua New Guinea) and the Parker Peak (1641, Philippines) eruptions. A decreasing aeolian dust input to the ice cap allowed the detection of an atmospheric pollution signal. The anthropogenic pollution contribution emerges in the record since the early 1900s (for Sb and Cd) and increases substantially after 1935 (for Ag, Zn, Pb, Cd and Sb). The metallurgy (Zn, Pb and steel smelting) emission products (Cd, Zn, Pb and Ag) from the former Soviet Union and especially from central Asia (e.g., Kyrgyzstan, Kazakhstan) likely enhanced the anthropogenic deposition to the Puruogangri ice cap between 1935 and 1980, suggesting that the westerlies served as a conveyor of atmospheric pollution to central Tibet. The impact of this industrial pollution cumulated with that of the hemispheric coal and gasoline combustion which are respectively traced by Sb and Pb enrichment in the ice. The Chinese steel production accompanying the Great Leap Forward (1958-1961) and the Chinese Cultural Revolution (1966-1976) is proposed as a secondary but proximal source of Pb pollution affecting the ice cap between 1958 and 1976. The most recent decade (1980-1992) of the enrichment time series suggests that Puruogangri ice cap recorded the early Sb, Cd, Zn, Pb and Ag pollution originating from developing countries of South (i.e., India) and East (i.e., China) Asia and transported by the summer monsoonal circulation.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: ACP-1149239
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Ohio State University
#	Grant: BPCRC Fellowship
#------------------
# Site_Information 
#	Site_Name: Puruogangri Dome A Ice Core
#	Location: Asia>Eastern Asia>China
#	Country: China
#	Northernmost_Latitude: 33.916
# 	Southernmost_Latitude: 33.916
# 	Easternmost_Longitude: 89.083
# 	Westernmost_Longitude: 89.083
# 	Elevation: 5980 m
#------------------
# Data_Collection   
#	Collection_Name: Puruogangri2017EFc5yr
#	Earliest_Year: 1500 
#	Most_Recent_Year: 1995 
#	Time_Unit: AD
#	Core_Length: 123.74 m 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	Time scale is from Thompson et al. (2006) Annals of Glaciology, vol 43, 61-68. 
#	The Puruogangri core 2 was dated by dust layer counting to 1600 AD, and was also constrained by the 1962/63 beta peak. 
#	From 1497 to 1600 AD, the core age is calculated from a 2-parameter thinning model (see Thompson et al., 2006)
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## age_AD	age, , , AD, , , , , N,
## AgEFc	Silver enrichment factor, , , , ,icecore, annual median enrichment factor, , N, 
## CdEFc	Cadmium enrichment factor, , , , ,icecore, annual median enrichment factor, , N, 
## SbEFc	Antimony enrichment factor, , , , ,icecore, annual median enrichment factor, , N, 
## TlEFc	Thallium enrichment factor, , , , ,icecore, annual median enrichment factor, , N, 
## PbEFc	Lead enrichment factor, , , , ,icecore, annual median enrichment factor, , N, 
## FeEFc	Iron enrichment factor, , , , ,icecore, annual median enrichment factor, , N, 
## ZnEFc	Zinc enrichment factor, , , , ,icecore, annual median enrichment factor, , N, 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
age_AD	AgEFc	CdEFc	SbEFc	TlEFc	PbEFc	FeEFc	ZnEFc
1995	4.03	3.76	3.61	1.84	2.61	1.18	1.73
1990	3.13	3.57	2.46	1.86	2.98	1.18	2.01
1985	2.37	3.38	2.22	1.50	2.41	1.11	1.74
1980	4.28	4.48	3.51	2.07	3.13	1.15	2.02
1975	3.95	4.37	3.75	1.72	3.61	1.17	2.07
1970	4.23	5.25	4.71	2.11	2.94	1.17	2.82
1965	4.26	3.50	2.64	1.67	2.90	1.13	2.03
1960	3.28	3.58	3.39	1.70	2.12	1.13	1.73
1955	3.36	3.34	2.22	1.73	2.52	1.11	1.88
1950	2.60	3.07	3.40	2.01	1.67	1.15	2.07
1945	3.22	4.69	4.02	2.41	2.02	1.20	1.99
1940	2.82	3.52	2.73	1.91	1.76	1.12	1.68
1935	2.54	2.70	2.23	1.39	1.97	1.11	1.55
1930	2.28	2.99	2.06	1.56	1.93	1.13	1.67
1925	2.41	3.19	2.39	1.83	2.23	1.19	1.77
1920	2.24	3.29	2.77	1.96	2.22	1.20	1.66
1915	1.72	2.56	2.46	1.53	2.13	1.11	1.57
1910	3.23	3.09	3.36	1.66	2.27	1.14	1.68
1905	2.29	3.16	2.53	1.89	1.82	1.18	1.63
1900	1.44	2.04	2.05	1.54	1.47	1.10	1.46
1895	2.13	3.26	2.36	1.74	2.39	1.06	1.71
1890	2.17	2.80	2.38	1.62	1.54	1.12	1.56
1885	2.07	2.71	2.60	1.84	1.57	1.09	1.62
1880	1.74	2.14	1.71	1.70	1.93	1.12	1.70
1875	1.78	2.14	1.77	1.41	1.28	1.08	1.39
1870	1.73	2.48	2.81	1.66	1.62	1.13	1.46
1865	1.72	2.51	2.44	1.72	2.26	1.09	1.68
1860	2.62	2.63	2.52	1.83	2.20	1.17	1.67
1855	2.22	2.02	2.27	1.61	1.72	1.07	1.67
1850	1.73	2.17	2.14	1.69	1.59	1.09	1.49
1845	1.98	2.44	2.19	1.60	1.78	1.13	1.71
1840	1.85	2.21	2.69	1.76	1.78	1.08	1.64
1835	2.38	2.04	2.14	1.50	1.84	1.08	1.84
1830	3.63	2.89	2.31	1.75	2.55	1.13	2.04
1825	3.09	3.15	1.90	1.81	2.78	1.04	1.72
1820	2.63	2.22	1.39	1.22	1.75	1.02	1.45
1815	2.87	2.87	1.95	1.58	2.67	1.01	1.68
1810	2.61	1.66	1.54	1.34	2.46	1.09	1.25
1805	2.35	1.93	1.49	1.30	1.84	1.02	1.32
1800	3.50	4.19	2.02	1.81	2.60	1.14	2.03
1795	3.15	3.88	2.68	1.65	2.00	1.10	2.37
1790	2.01	2.37	1.63	1.41	1.62	1.08	1.74
1785	2.01	3.88	2.56	1.82	1.82	1.13	1.79
1780	2.80	2.91	2.66	1.55	2.03	1.08	1.78
1775	3.78	3.35	2.07	1.78	1.94	1.10	1.71
1770	2.51	3.15	2.58	1.88	2.24	1.07	1.69
1765	2.29	2.74	2.19	1.83	1.76	1.11	1.61
1760	1.63	2.25	2.00	1.66	1.83	1.14	1.51
1755	3.98	3.20	2.61	2.52	2.68	1.11	1.18
1750	1.83	2.20	1.62	1.28	1.93	1.04	1.63
1745	3.84	4.75	4.08	4.01	4.95	1.07	1.48
1740	2.47	2.98	1.84	1.75	1.56	1.11	1.43
1735	3.16	2.51	2.51	1.66	1.99	1.05	1.55
1730	2.22	3.49	2.11	1.85	1.93	1.03	1.59
1725	1.94	2.67	1.95	1.74	2.09	1.06	1.55
1720	2.74	3.25	1.79	1.71	2.12	1.03	1.74
1715	3.17	2.84	2.47	1.85	2.12	1.03	1.54
1710	2.64	2.93	1.86	1.57	1.96	1.04	1.62
1705	2.52	2.69	1.80	1.59	1.83	1.08	1.61
1700	1.96	2.25	1.95	1.56	1.69	1.18	1.57
1695	1.69	2.00	1.66	1.38	1.34	1.10	1.44
1690	2.12	3.25	2.01	1.60	2.98	1.05	1.88
1685	1.49	1.75	1.39	1.33	1.45	1.08	1.41
1680	1.93	2.54	1.93	1.45	1.79	1.07	1.62
1675	3.11	2.65	1.87	1.35	1.85	1.07	1.59
1670	2.72	2.39	1.55	1.32	1.74	1.06	1.49
1665	4.36	3.77	2.26	1.52	2.94	1.06	1.77
1660	3.57	4.38	3.97	2.29	3.37	1.07	1.57
1655	6.81	9.72	14.26	4.66	10.32	1.11	1.63
1650	1.73	2.59	1.90	1.69	1.71	1.12	1.65
1645	3.01	1.94	1.51	1.37	1.89	1.11	1.32
1640	3.16	2.42	1.74	1.40	1.95	1.00	1.53
1635	2.57	2.23	1.66	1.37	2.02	1.01	1.52
1630	2.56	2.76	1.92	1.53	2.09	1.08	1.59
1625	2.39	2.63	1.44	1.42	1.75	1.05	1.68
1620	2.22	2.55	2.05	1.75	1.95	1.10	1.68
1615	2.14	3.17	1.83	1.59	2.25	1.10	1.80
1610	2.11	3.06	2.01	1.81	2.46	1.08	1.73
1605	1.88	1.87	3.30	1.50	2.16	1.05	1.39
1600	2.41	2.15	1.93	1.66	2.28	1.06	1.53
1595	2.61	1.99	1.67	1.38	1.75	1.04	1.54
1590	3.03	3.20	2.75	1.90	3.67	1.06	1.93
1585	4.13	3.52	2.33	2.11	2.72	1.10	1.74
1580	2.57	2.44	1.77	1.24	2.20	1.04	1.62
1575	2.80	2.59	1.22	1.64	2.61	1.12	1.28
1570	3.39	2.88	6.36	1.65	2.67	1.10	1.71
1565	2.98	2.23	1.68	1.44	1.93	1.02	1.47
1560	2.96	2.41	2.61	1.79	2.39	1.03	1.61
1555	2.14	2.59	2.03	1.63	2.07	1.06	1.68
1550	1.49	2.79	2.18	1.62	1.91	1.16	1.68
1545	1.69	2.57	1.64	1.48	1.99	1.10	1.65
1540	2.17	3.05	1.92	1.42	1.85	1.08	1.54
1535	3.87	4.92	2.86	1.66	3.44	1.10	2.14
1530	2.04	3.41	4.03	1.84	2.63	1.08	1.83
1525	2.05	2.08	1.09	1.40	2.16	1.07	1.34
1520	3.04	2.69	1.44	1.50	2.54	1.09	1.47
1515	2.92	2.98	1.71	1.54	2.29	1.00	1.65
1510	1.54	2.42	1.99	1.80	1.87	1.12	1.55
1505	1.73	2.82	2.74	2.26	1.89	1.14	1.60
1500	1.55	2.24	2.02	1.86	3.99	1.11	1.58
