# Alto dell'Ortles Glacier Ice Core Age Models
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 2.0
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/20367 
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/ortles/ortles2016h3.txt
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#
# Parameter_Keywords: age control 
#--------------------
# Contribution_Date
#	Date: 2016-11-17
#--------------------
# Title
#	Study_Name: Alto dell'Ortles Glacier Ice Core Age Models
#--------------------
# Investigators
# 	Investigators: Gabrielli, P. 
#--------------------
# Description_and_Notes
#	Description: Age Models and supporting information for the Alto dell'Ortles ice cores in the Tyrolean Alps, Italy. 
#
#
# Ortles core #2	Depth (m)	Beta (dpm/kg)	SD  (dpm/kg)		Cor. 137Cs act. (Bq kg-1)		SD  (Bq kg-1)		Cor. 241Am act. (Bq kg-1)	
# 	2.75	460	41		<	1.78E-03			<	9.67E-04
# 	22.95	56	33		<	1.48E-03			<	1.48E-03
# 	41.27	441	46			3.50E-02	3.20E-03		<	1.92E-03
# 
# 
#--------------------
# Publication 
#	Authors: Paolo Gabrielli, Carlo Barbante, Giuliano Bertagna, Michele Bertó, Daniel Binder, Alberto Carton, Luca Carturan, Federico Cazorzi, Giulio Cozzi, Giancarlo Dalla Fontana, Mary Davis, Fabrizio De Blasi, Roberto Dinale, Gianfranco Dragà, Giuliano Dreossi, Daniela Festi, Massimo Frezzotti, Jacopo Gabrieli, Stephan P. Galos, Patrick Ginot, Petra Heidenwolf, Theo M. Jenk, Natalie Kehrwald, Donald Kenny, Olivier Magand, Volkmar Mair, Vladimir Mikhalenko, Ping Nan Lin, Klaus Oeggl, Gianni Piffer, Mirko Rinaldi, Ulrich Schotterer, Margit Schwikowski, Roberto Seppi, Andrea Spolaor, Barbara Stenni, David Tonidandel, Chiara Uglietti, Victor Zagorodnov, Thomas Zanoner, and Piero Zennaro 
#	Published_Date_or_Year: 2016-11-17
#	Published_Title: Age of the Mt. Ortles ice cores, the Tyrolean Iceman and glaciation of the highest summit of South Tyrol since the Northern Hemisphere Climatic Optimum 
#	Journal_Name: The Cryosphere 
#	Volume: 10
#	Edition: 
#	Issue: 6
#	Pages: 2779-2797
#	Report_Number: 
#	DOI: 10.5194/tc-10-2779-2016
#	Online_Resource: http://www.the-cryosphere.net/10/2779/2016/
#	Full_Citation:  
#	Abstract: In 2011 four ice cores were extracted from the summit of Alto dell'Ortles (3859 m), the highest glacier of South Tyrol in the Italian Alps. This drilling site is located only 37 km southwest from where the Tyrolean Iceman, ~5.3 kyrs old, was discovered emerging from the ablating ice field of Tisenjoch (3210 m, near the Italian-Austrian border) in 1991. The excellent preservation of this mummy suggested that the Tyrolean Iceman was continuously embedded in prehistoric ice and that additional ancient ice was likely preserved elsewhere in South Tyrol. Dating of the ice cores from Alto dell'Ortles based on 210Pb, tritium, beta activity and 14C determinations, combined with an empirical model (COPRA), provides evidence for a chronologically ordered ice stratigraphy from the modern glacier surface down to the bottom ice layers with an age of ~7 kyrs, which confirms the hypothesis. Our results indicate that the drilling site has continuously been glaciated on frozen bedrock since ~7 kyrs BP. Absence of older ice on the highest glacier of South Tyrol is consistent with the removal of basal ice from bedrock during the Northern Hemisphere Climatic Optimum (6-9 kyrs BP), the warmest interval in the European Alps during the Holocene. Borehole inclinometric measurements of the current glacier flow combined with surface ground penetration radar (GPR) measurements indicate that, due to the sustained atmospheric warming since the 1980s, an acceleration of the glacier Alto dell'Ortles flow has just recently begun. Given the stratigraphic-chronological continuity of the Mt. Ortles cores over millennia, it can be argued that this behaviour has been unprecedented at this location since the Northern Hemisphere Climatic Optimum.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: 1060115, 1461422
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Ripartizione Protezione antincendi e civile of the autonomous province of Bolzano
#	Grant: 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Ripartizione Opere idrauliche e Ripartizione Foreste of the autonomous province of Bolzano and the Stelvio National Park
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Alto dell'Ortles
#	Location: Europe>Southern Europe>Italy
#	Country: Italy
#	Northernmost_Latitude: 46.5089
#	Southernmost_Latitude: 46.5089
#	Easternmost_Longitude: 10.545
#	Westernmost_Longitude: 10.545
#	Elevation: 3859 m  
#------------------
# Data_Collection   
#	Collection_Name: Ortles2016H3
#	Earliest_Year: 3673
#	Most_Recent_Year: 0
#	Time_Unit: Cal. Year BP
#	Core_Length: m
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
# Tie Points:
# Ortles core #1	Ortles core #2
# Depth (m)	Depth (m)
# 0.40	0.80
# 2.74	3.13
# 6.73	7.24
# 11.89	12.61
# 14.55	15.37
# 25.70	25.17
# 30.77	31.45
# 37.90	38.70
# 46.94	47.53
# 51.02	51.92
# 53.42	54.24
# 55.23	55.98
# 58.36	59.12
# 64.26	64.32
# 67.78	67.42
# 72.03	71.70
# 73.53	73.53
# 	
# Ortles core #3	Ortles Core #2
# Depth (m)	Depth (m)
# 0.80	0.80
# 3.13	3.13
# 7.08	7.26
# 9.72	10.71
# 11.68	12.60
# 14.15	15.40
# 17.80	19.21
# 25.84	25.16
# 35.63	35.95
# 42.20	41.14
# 52.79	53.87
# 57.80	58.80
# 63.59	64.32
# 74.83	74.87
#
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
## core	Ortles core number, , , , , , , ,C
## depth_m	depth, , , m, , , , ,N
## H3	Tritium, , , TU, , , , ,N
## H3err	Tritium uncertainty, , , TU, , , , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
# Figure 8 Tritium Ortles Cores 1,2 
#
core	depth_m	H3	H3err
Core 1	1.66	14	3
Core 1	2.00	15	3
Core 1	2.34	9	2
Core 1	2.68	12	2
Core 1	3.06	20	4
Core 1	3.46	7	1
Core 1	3.82	10	2
Core 1	4.18	7	1
Core 1	4.43	9	2
Core 1	35.59	10	2
Core 1	35.95	33	7
Core 1	36.31	24	5
Core 1	36.67	2	0.3
Core 1	37.02	15	3
Core 1	37.38	37	7
Core 1	37.73	26	5
Core 1	38.09	42	8
Core 1	38.44	38	8
Core 1	38.80	26	5
Core 1	39.16	14	3
Core 1	39.52	45	9
Core 1	39.88	94	19
Core 1	40.24	196	39
Core 1	40.60	134	27
Core 1	40.95	52	10
Core 1	41.31	10	2
Core 1	41.67	4	1
Core 1	42.02	25	5
Core 1	42.38	33	7
Core 1	42.73	25	5
Core 1	43.08	13	3
Core 1	43.43	15	3
Core 1	43.77	24	5
Core 1	44.14	19	4
Core 1	44.50	0	0
Core 1	44.85	28	6
Core 1	45.20	18	4
Core 1	45.55	23	5
Core 1	45.89	18	4
Core 1	46.24	26	5
Core 1	46.58	8	2
Core 1	46.94	11	2
Core 1	47.29	3	1
Core 1	47.65	-1	0.3
Core 1	48.00	20	4
Core 1	48.36	8	2
Core 1	48.71	13	3
Core 1	49.07	7	1
Core 1	49.42	7	1
Core 1	49.77	18	4
Core 1	50.12	3	1
Core 1	50.43	3	1
Core 1	50.73	9	2
Core 1	51.07	2	0
Core 1	51.41	4	1
Core 1	51.74	22	4
Core 1	52.07	8	2
Core 1	52.43	5	1
Core 1	52.78	2	0.4
Core 1	53.13	14	3
Core 1	53.49	11	2
Core 1	53.84	10	2
Core 1	54.20	19	4
Core 1	54.55	-2	0.5
Core 1	54.91	10	2
Core 2	24.26	5.21	0.51
Core 2	34.88	14.31	0.63
Core 2	38.37	9.79	0.6
Core 2	39.07	21.23	0.78
Core 2	39.78	21.80	0.79
Core 2	40.49	58.58	1.5
Core 2	41.18	159.62	3.46
Core 2	41.85	25.92	0.87
Core 2	42.55	21.05	0.65
Core 2	43.25	13.94	0.71
Core 2	43.95	7.60	0.64
Core 2	44.66	5.50	0.55
Core 2	45.33	0.20	0.41
Core 2	55.11	-0.01	0.41
Core 2	64.15	0.16	0.42
Core 2	73.79	0.04	0.41
